separate_mechanism	mover_ch	motion_en	time	date	mover_en	type	motion_ch	vote_number
Yes	郭偉強	"AMENDMENT BY HON KWOK WAI-KEUNG TO HON CHAN HAK-KAN'S MOTION ON ""CARING ABOUT THE EDUCATION, EMPLOYMENT, HOUSING, HOME ACQUISITION AND BUSINESS START-UP PROBLEMS FACED BY YOUNG PEOPLE"""	20:35:36	28/11/2012	KWOK Wai-keung	Member	郭偉強議員對陳克勤議員的「關注青年人面對的學業、就業、住屋置業和創業問題」議案作出的修正案	[u'1']
Yes	何秀蘭	"AMENDMENT BY HON CYD HO TO HON FREDERICK FUNG'S MOTION ON ""RAISING THE MINIMUM WAGE LEVEL TO $33 OR ABOVE PER HOUR"""	17:46:41	31/10/2012	Cyd HO	Member	何秀蘭議員對馮檢基議員的「調升最低工資水平至時薪33元或以上」議案作出的修正案	[u'1']
Yes	黃毓民	"MOTION ON ""VOTE OF NO CONFIDENCE IN THE SECRETARY FOR DEVELOPMENT AND THE SECRETARY FOR EDUCATION"""	17:32:53	14/11/2012	WONG Yuk-man	Member	「對發展局局長及教育局局長投不信任票」議案	[u'1']
Yes	陳家洛	"AMENDMENT BY DR HON KENNETH CHAN TO HON IP KIN-YUEN'S MOTION ON ""URGING THE GOVERNMENT TO WITHDRAW THE CURRICULUM GUIDE OF MORAL AND NATIONAL EDUCATION SUBJECT AND REQUESTING THE SECRETARY FOR EDUCATION, MR EDDIE NG, TO STEP DOWN"""	19:37:53	17/10/2012	Dr Kenneth CHAN	Member	陳家洛議員對葉建源議員的「促請政府撤回'德育及國民教育科'課程指引及要求教育局局長吳克儉先生下台」議案作出的修正案	[u'1']
Yes	陳婉嫻	"AMENDMENT BY HON CHAN YUEN-HAN TO HON LEUNG KWOK-HUNG'S MOTION ON ""BUYING BACK THE SHARES OF THE LINK"""	18:05:33	21/11/2012	CHAN Yuen-han	Member	陳婉嫻議員對梁國雄議員的「回購領匯股份」議案作出的修正案	[u'1']
Yes	葉劉淑儀	"AMENDMENT BY HON MRS REGINA IP TO HON CYD HO'S MOTION ON ""EQUAL RIGHTS FOR PEOPLE OF DIFFERENT SEXUAL ORIENTATIONS"""	17:39:55	07/11/2012	Mrs Regina IP	Member	葉劉淑儀議員對何秀蘭議員的「同志平權」議案作出的修正案	[u'1']
Yes	陳偉業	PROPOSED RESOLUTION UNDER THE LEGISLATIVE COUNCIL (POWERS AND PRIVILEGES) ORDINANCE	18:18:10	05/12/2012	Albert CHAN	Member	根據《立法會（權力及特權）條例》動議的擬議決議案	[u'1']
Yes	馮檢基	"AMENDMENT BY HON FREDERICK FUNG TO HON EMILY LAU'S MOTION ON ""NORTH EAST NEW TERRITORIES NEW DEVELOPMENT AREAS PLANNING AND ENGINEERING STUDY"""	19:06:10	24/10/2012	Frederick FUNG	Member	馮檢基議員對劉慧卿議員的「新界東北新發展區規劃及工程研究」議案作出的修正案	[u'1']
Yes	方剛	"AMENDMENT BY HON VINCENT FANG TO DR HON JOSEPH LEE'S MOTION ON ""URGING THE GOVERNMENT TO REGULATE HEALTH FOOD PRODUCTS"" AS AMENDED BY HON ALICE MAK"	18:07:33	12/12/2012	Vincent FANG	Member	方剛議員對李國麟議員就「促請政府規管保健食品」所提，經麥美娟議員修正的議案，作出的修正案	[u'1']
Yes	張國柱	"AMENDMENT BY HON CHEUNG KWOK-CHE TO HON CHAN HAK-KAN'S MOTION ON ""CARING ABOUT THE EDUCATION, EMPLOYMENT, HOUSING, HOME ACQUISITION AND BUSINESS START-UP PROBLEMS FACED BY YOUNG PEOPLE"""	20:38:38	28/11/2012	CHEUNG Kwok-che	Member	張國柱議員對陳克勤議員的「關注青年人面對的學業、就業、住屋置業和創業問題」議案作出的修正案	[u'2']
Yes	馮檢基	AMENDMENT BY HON FREDERICK FUNG TO HON ANDREW LEUNG'S MOTION OF THANKS	21:23:18	01/02/2013	Frederick FUNG	Member	馮檢基議員對梁君彥議員的致謝議案作出的修正案	[u'1']
Yes	郭偉強	"AMENDMENT BY HON KWOK WAI-KEUNG TO DR HON ELIZABETH QUAT'S MOTION ON ""ASSISTING THE MIDDLE CLASS"""	19:38:39	23/01/2013	KWOK Wai-keung	Member	郭偉強議員對葛珮帆議員的「幫助中產」議案作出的修正案	[u'1']
No	運輸及房屋局局長	FIRST PROPOSED RESOLUTION UNDER THE PUBLIC BUS SERVICES ORDINANCE	14:22:56	20/03/2013	Secretary for Transport and Housing	Public Officer	根據《公共巴士服務條例》動議的第一項擬議決議案	[u'1']
Yes	李卓人	PROPOSED RESOLUTION UNDER THE LEGISLATIVE COUNCIL (POWERS AND PRIVILEGES) ORDINANCE	19:57:24	19/12/2012	LEE Cheuk-yan	Member	根據《立法會（權力及特權）條例》動議的擬議決議案	[u'1']
Yes	梁國雄	MOTION UNDER ARTICLE 73(9) OF THE BASIC LAW	22:15:37	09/01/2013	LEUNG Kwok-hung	Member	根據《基本法》第七十三（九）‍條動議的議案	[u'1']
Yes	馮檢基	"AMENDMENT BY HON FREDERICK FUNG TO HON CHAN YUEN-HAN'S MOTION ON ""ALLEVIATING POVERTY"""	23:14:44	14/11/2012	Frederick FUNG	Member	馮檢基議員對陳婉嫻議員的「紓解貧窮」議案作出的修正案	[u'2']
Yes	謝偉俊	"MOTION MOVED BY HON PAUL TSE ON ""URGING THE GOVERNMENT TO ERADICATE 'GUTTER OIL' AND TAKE THE LEAD IN SUPPORTING BIODIESEL"" AS AMENDED BY HON WONG KWOK-HING / HON FRANKIE YICK / HON STEVEN HO"	16:30:27	27/03/2013	Paul TSE	Member	謝偉俊議員動議，經王國興議員／易志明議員／何俊賢議員修正的「促請政府杜絕'地溝油'，並牽頭支持生化柴油」議案	[u'1']
Yes	何秀蘭	MOTION UNDER THE LEGISLATIVE COUNCIL (POWERS AND PRIVILEGES) ORDINANCE	15:39:37	20/02/2013	Cyd HO	Member	根據《立法會（權力及特權）條例》動議的議案	[u'1']
Yes	麥美娟	"AMENDMENT BY HON ALICE MAK TO HON CHAN HAN-PAN'S MOTION ON ""DEVELOPING A NEW NORTH LANTAU"" AS AMENDED BY HON RONNY TONG / HON TONY TSE"	21:00:30	06/02/2013	Alice MAK	Member	麥美娟議員對陳恒鑌議員就「建設新北大嶼山」所提，經湯家驊議員／謝偉銓議員修正的議案，作出的修正案	[u'1']
Yes	張超雄	"AMENDMENT BY DR HON FERNANDO CHEUNG TO HON FREDERICK FUNG'S MOTION ON ""RAISING THE MINIMUM WAGE LEVEL TO $33 OR ABOVE PER HOUR"""	17:49:44	31/10/2012	Dr Fernando CHEUNG	Member	張超雄議員對馮檢基議員的「調升最低工資水平至時薪33元或以上」議案作出的修正案	[u'2']
Yes	梁志祥	"AMENDMENT BY HON LEUNG CHE-CHEUNG TO HON LEUNG KWOK-HUNG'S MOTION ON ""BUYING BACK THE SHARES OF THE LINK"""	18:08:37	21/11/2012	LEUNG Che-cheung	Member	梁志祥議員對梁國雄議員的「回購領匯股份」議案作出的修正案	[u'2']
Yes	馮檢基	"AMENDMENT BY HON FREDERICK FUNG TO HON IP KIN-YUEN'S MOTION ON ""URGING THE GOVERNMENT TO WITHDRAW THE CURRICULUM GUIDE OF MORAL AND NATIONAL EDUCATION SUBJECT AND REQUESTING THE SECRETARY FOR EDUCATION, MR EDDIE NG, TO STEP DOWN"""	19:41:08	17/10/2012	Frederick FUNG	Member	馮檢基議員對葉建源議員的「促請政府撤回'德育及國民教育科'課程指引及要求教育局局長吳克儉先生下台」議案作出的修正案	[u'2']
Yes	鍾國斌	"AMENDMENT BY HON CHUNG KWOK-PAN TO HON CYD HO'S MOTION ON ""EQUAL RIGHTS FOR PEOPLE OF DIFFERENT SEXUAL ORIENTATIONS"""	17:42:53	07/11/2012	CHUNG Kwok-pan	Member	鍾國斌議員對何秀蘭議員的「同志平權」議案作出的修正案	[u'2']
Yes	郭家麒	"AMENDMENT BY DR HON KWOK KA-KI TO HON MICHAEL TIEN'S MOTION ON ""EXECUTIVE COUNCIL AS GATE-KEEPER FOR MTR FARES"""	10:44:05	06/12/2012	Dr KWOK Ka-ki	Member	郭家麒議員對田北辰議員的「港鐵票價，行會把關」議案作出的修正案	[u'2']
No	財政司司長	APPROPRIATION BILL 2013 - SECOND READING	19:52:56	24/04/2013	The Financial Secretary	Public Officer	《2013年撥款條例草案》－ 二讀	[u'1']
Yes	陳克勤	"AMENDMENT BY HON CHAN HAK-KAN TO HON EMILY LAU'S MOTION ON ""NORTH EAST NEW TERRITORIES NEW DEVELOPMENT AREAS PLANNING AND ENGINEERING STUDY"""	19:09:08	24/10/2012	CHAN Hak-kan	Member	陳克勤議員對劉慧卿議員的「新界東北新發展區規劃及工程研究」議案作出的修正案	[u'2']
Yes	胡志偉	"MOTION ON ""VOTE OF NO CONFIDENCE IN THE CHIEF EXECUTIVE"""	22:39:37	12/12/2012	WU Chi-wai	Member	「對行政長官投不信任票」議案	[u'2']
Yes	李卓人	"AMENDMENT BY HON LEE CHEUK-YAN TO HON TANG KA-PIU'S MOTION ON ""COMPREHENSIVELY REVIEWING THE MANDATORY PROVIDENT FUND SCHEME"""	14:35:07	10/01/2013	LEE Cheuk-yan	Member	李卓人議員對鄧家彪議員的「全面檢討強制性公積金計劃」議案作出的修正案	[u'2']
No	政制及內地事務局局長	DISTRICT COUNCILS (AMENDMENT) BILL 2013 - SECOND READING	21:15:27	22/05/2013	Secretary for Constitutional and Mainland Affairs	Public Officer	《2013年區議會(修訂)條例草案》- 二讀	[u'1']
Yes	陳婉嫻	"AMENDMENT BY HON CHAN YUEN-HAN TO HON CHAN HAK-KAN'S MOTION ON ""CARING ABOUT THE EDUCATION, EMPLOYMENT, HOUSING, HOME ACQUISITION AND BUSINESS START-UP PROBLEMS FACED BY YOUNG PEOPLE"""	20:41:01	28/11/2012	CHAN Yuen-han	Member	陳婉嫻議員對陳克勤議員的「關注青年人面對的學業、就業、住屋置業和創業問題」議案作出的修正案	[u'3']
Yes	單仲偕	AMENDMENT BY HON SIN CHUNG-KAI TO HON ANDREW LEUNG'S MOTION OF THANKS	21:26:28	01/02/2013	SIN Chung-kai	Member	單仲偕議員對梁君彥議員的致謝議案作出的修正案	[u'2']
Yes	郭家麒	"AMENDMENT BY DR HON KWOK KA-KI TO DR HON ELIZABETH QUAT'S MOTION ON ""ASSISTING THE MIDDLE CLASS"""	19:41:31	23/01/2013	Dr KWOK Ka-ki	Member	郭家麒議員對葛珮帆議員的「幫助中產」議案作出的修正案	[u'2']
Yes	張超雄	"AMENDMENT BY DR HON FERNANDO CHEUNG TO HON MRS REGINA IP'S MOTION ON ""REVIVING THE QUALITY OF LOCAL EDUCATION AND STOPPING THE BLIND INDUSTRIALIZATION OF EDUCATION"""	13:56:54	20/12/2012	Dr Fernando CHEUNG	Member	張超雄議員對葉劉淑儀議員的「重振本地教育質素，停止教育盲目產業化」議案作出的修正案	[u'2']
Yes	王國興	"AMENDMENT BY HON WONG KWOK-HING TO DR HON PRISCILLA LEUNG'S MOTION ON ""IMPROVING PROPERTY MANAGEMENT AND OPERATION OF OWNERS' CORPORATIONS"""	20:26:08	27/03/2013	WONG Kwok-hing	Member	王國興議員對梁美芬議員的「改善物業管理及業主立案法團運作」議案作出的修正案	[u'2']
Yes	何俊仁	"MOTION ON ""THE 4 JUNE INCIDENT"""	17:25:11	29/05/2013	Albert HO	Member	「六四事件」議案	[u'1']
Yes	張超雄	"AMENDMENT BY DR HON FERNANDO CHEUNG TO HON CHAN YUEN-HAN'S MOTION ON ""ALLEVIATING POVERTY"" AS AMENDED BY HON FREDERICK FUNG"	23:19:46	14/11/2012	Dr Fernando CHEUNG	Member	張超雄議員對陳婉嫻議員就「紓解貧窮」所提，經馮檢基議員修正的議案，作出的修正案	[u'3']
Yes	單仲偕	"AMENDMENT BY HON SIN CHUNG-KAI TO HON MARTIN LIAO'S MOTION ON ""PROMOTING HONG KONG'S ECONOMIC RESTRUCTURING"" AS AMENDED BY HON KENNETH LEUNG / HON CHRISTOPHER CHEUNG / HON TANG KA-PIU"	20:05:26	20/03/2013	SIN Chung-kai	Member	單仲偕議員對廖長江議員就「推動香港經濟轉型」所提，經梁繼昌議員／張華峰議員／鄧家彪議員修正的議案，作出的修正案	[u'2']
Yes	盧偉國	"AMENDMENT BY IR DR HON LO WAI-KWOK TO HON RONNY TONG'S MOTION ON ""IMPLEMENTING DUAL UNIVERSAL SUFFRAGE"""	20:34:51	20/02/2013	Ir Dr LO Wai-kwok	Member	盧偉國議員對湯家驊議員的「落實雙普選」議案作出的修正案	[u'2']
Yes	張超雄	"AMENDMENT BY DR HON FERNANDO CHEUNG TO HON CHAN HAN-PAN'S MOTION ON ""DEVELOPING A NEW NORTH LANTAU"" AS AMENDED BY HON RONNY TONG / HON TONY TSE / HON ALICE MAK"	21:04:04	06/02/2013	Dr Fernando CHEUNG	Member	張超雄議員對陳恒鑌議員就「建設新北大嶼山」所提，經湯家驊議員／謝偉銓議員／麥美娟議員修正的議案，作出的修正案	[u'2']
Yes	何俊仁	"HON ALBERT HO'S AMENDMENT TO HON JAMES TO'S AMENDMENT TO HON NG LEUNG-SING'S MOTION ON ""MAINTAINING AND ENHANCING HONG KONG'S POSITION AS AN INTERNATIONAL FINANCIAL CENTRE"" AS AMENDED BY HON CHRISTOPHER CHEUNG"	17:01:21	19/06/2013	Albert HO	Member	何俊仁議員就涂謹申議員對吳亮星議員經張華峰議員修正的「維護和提高香港的國際金融中心地位」議案所提修正案，作出的修正案	[u'1']
Yes	張國柱	"AMENDMENT BY HON CHEUNG KWOK-CHE TO HON FREDERICK FUNG'S MOTION ON ""RAISING THE MINIMUM WAGE LEVEL TO $33 OR ABOVE PER HOUR"""	17:51:44	31/10/2012	CHEUNG Kwok-che	Member	張國柱議員對馮檢基議員的「調升最低工資水平至時薪33元或以上」議案作出的修正案	[u'3']
Yes	郭家麒	"AMENDMENT BY DR HON KWOK KA-KI TO HON LEUNG KWOK-HUNG'S MOTION ON ""BUYING BACK THE SHARES OF THE LINK"""	18:10:40	21/11/2012	Dr KWOK Ka-ki	Member	郭家麒議員對梁國雄議員的「回購領匯股份」議案作出的修正案	[u'3']
Yes	郭偉強	"AMENDMENT BY HON KWOK WAI-KEUNG TO HON STARRY LEE'S MOTION ON ""ACTIVELY PROMOTING FAMILY-FRIENDLY POLICIES"""	18:07:39	05/06/2013	KWOK Wai-keung	Member	郭偉強議員對李慧琼議員的「積極推動家庭友善政策」議案作出的修正案	[u'1']
Yes	李卓人	"AMENDMENT BY HON LEE CHEUK-YAN TO HON MICHAEL TIEN'S MOTION ON ""EXECUTIVE COUNCIL AS GATE-KEEPER FOR MTR FARES"""	10:47:02	06/12/2012	LEE Cheuk-yan	Member	李卓人議員對田北辰議員的「港鐵票價，行會把關」議案作出的修正案	[u'3']
No	財政司司長	APPROPRIATION BILL 2013 - COMMITTEE STAGE - THE SUMS FOR HEADS 23, 25 TO 28, 33, 42, 45, 48, 51, 60, 78, 106, 112, 114, 116, 118, 120, 121, 136, 166, 168, 174, 181, 184 AND 188 STAND PART OF THE SCHEDULE	9:28:32	25/04/2013	The Financial Secretary	Public Officer	《2013年撥款條例草案》－ 全體委員會審議階段 － 總目23、25至28、33、42、45、48、51、60、78、106、112、114、116、118、120、121、136、166、168、174、181、184及188的款額納入附表	[u'2']
Yes	葉建源	"MOTION ON ""URGING THE GOVERNMENT TO WITHDRAW THE CURRICULUM GUIDE OF MORAL AND NATIONAL EDUCATION SUBJECT AND REQUESTING THE SECRETARY FOR EDUCATION, MR EDDIE NG, TO STEP DOWN"""	19:44:20	17/10/2012	IP Kin-yuen	Member	「促請政府撤回'德育及國民教育科'課程指引及要求教育局局長吳克儉先生下台」議案	[u'3']
Yes	范國威	"AMENDMENT BY HON GARY FAN TO HON CYD HO'S MOTION ON ""EQUAL RIGHTS FOR PEOPLE OF DIFFERENT SEXUAL ORIENTATIONS"""	17:45:07	07/11/2012	Gary FAN	Member	范國威議員對何秀蘭議員的「同志平權」議案作出的修正案	[u'3']
Yes	陳婉嫻	"AMENDMENT BY HON CHAN YUEN-HAN TO HON EMILY LAU'S MOTION ON ""NORTH EAST NEW TERRITORIES NEW DEVELOPMENT AREAS PLANNING AND ENGINEERING STUDY"""	19:11:15	24/10/2012	CHAN Yuen-han	Member	陳婉嫻議員對劉慧卿議員的「新界東北新發展區規劃及工程研究」議案作出的修正案	[u'3']
Yes	梁家騮	"AMENDMENT BY DR HON LEUNG KA-LAU TO HON ALICE MAK'S MOTION ON ""DRUG FORMULARY AND DRUGS SUBSIDY SYSTEM"""	11:39:43	23/05/2013	Dr LEUNG Ka-lau	Member	梁家騮議員對麥美娟議員的「《藥物名冊》及藥物資助制度」議案作出的修正案	[u'2']
Yes	毛孟靜	"AMENDMENT BY HON CLAUDIA MO TO HON SIN CHUNG-KAI'S MOTION ON ""FACING UP TO THE ASPIRATIONS OF THE PEOPLE PARTICIPATING IN THE MARCH ON 1 JULY"""	19:26:57	03/07/2013	Claudia MO	Member	毛孟靜議員對單仲偕議員的「正視七一遊行市民的訴求」議案作出的修正案	[u'1']
Yes	梁國雄	MOTION UNDER THE LEGISLATIVE COUNCIL (POWERS AND PRIVILEGES) ORDINANCE	21:06:32	26/06/2013	LEUNG Kwok-hung	Member	根據《立法會（權力及特權）條例》動議的議案	[u'1']
Yes	潘兆平	"AMENDMENT BY HON POON SIU-PING TO HON TANG KA-PIU'S MOTION ON ""COMPREHENSIVELY REVIEWING THE MANDATORY PROVIDENT FUND SCHEME"""	14:38:12	10/01/2013	POON Siu-ping	Member	潘兆平議員對鄧家彪議員的「全面檢討強制性公積金計劃」議案作出的修正案	[u'3']
Yes	葉國謙	"AMENDMENT BY HON IP KWOK-HIM TO HON ALAN LEONG'S MOTION ON ""DEMOCRATIC PROCEDURES FOR THE ELECTION OF THE CHIEF EXECUTIVE BY UNIVERSAL SUFFRAGE IN 2017"""	21:32:20	29/05/2013	IP Kwok-him	Member	葉國謙議員對梁家傑議員的「2017年行政長官普選的民主程序」議案作出的修正案	[u'2']
Yes	何秀蘭	HONG KONG ARTS DEVELOPMENT COUNCIL (AMENDMENT) BILL 2013 - COMMITTEE STAGE - NEW CLAUSE 4 BE READ THE SECOND TIME	16:43:04	10/07/2013	Cyd HO	Member	《2013年香港藝術發展局（修訂）條例草案》－ 全體委員會審議階段 － 新訂的第4條，予以二讀	[u'1']
Yes	黃碧雲	"AMENDMENT BY DR HON HELENA WONG TO HON CHAN HAK-KAN'S MOTION ON ""CARING ABOUT THE EDUCATION, EMPLOYMENT, HOUSING, HOME ACQUISITION AND BUSINESS START-UP PROBLEMS FACED BY YOUNG PEOPLE"" AS AMENDED BY HON CHAN YUEN-HAN / DR HON KENNETH CHAN"	20:44:34	28/11/2012	Dr Helena WONG	Member	黃碧雲議員對陳克勤議員就「關注青年人面對的學業、就業、住屋置業和創業問題」所提，經陳婉嫻議員／陳家洛議員修正的議案，作出的修正案	[u'4']
Yes	何秀蘭	AMENDMENT BY HON CYD HO TO HON ANDREW LEUNG'S MOTION OF THANKS	21:28:30	01/02/2013	Cyd HO	Member	何秀蘭議員對梁君彥議員的致謝議案作出的修正案	[u'3']
Yes	梁繼昌	"AMENDMENT BY HON KENNETH LEUNG TO DR HON ELIZABETH QUAT'S MOTION ON ""ASSISTING THE MIDDLE CLASS"""	19:43:54	23/01/2013	Kenneth LEUNG	Member	梁繼昌議員對葛珮帆議員的「幫助中產」議案作出的修正案	[u'3']
Yes	毛孟靜	"AMENDMENT BY HON CLAUDIA MO TO HON MRS REGINA IP'S MOTION ON ""REVIVING THE QUALITY OF LOCAL EDUCATION AND STOPPING THE BLIND INDUSTRIALIZATION OF EDUCATION"""	13:59:49	20/12/2012	Claudia MO	Member	毛孟靜議員對葉劉淑儀議員的「重振本地教育質素，停止教育盲目產業化」議案作出的修正案	[u'3']
Yes	毛孟靜	"AMENDMENT BY HON CLAUDIA MO TO DR HON PRISCILLA LEUNG'S MOTION ON ""IMPROVING PROPERTY MANAGEMENT AND OPERATION OF OWNERS' CORPORATIONS"""	20:28:59	27/03/2013	Claudia MO	Member	毛孟靜議員對梁美芬議員的「改善物業管理及業主立案法團運作」議案作出的修正案	[u'3']
Yes	涂謹申	"AMENDMENT BY HON JAMES TO TO HON NG LEUNG-SING'S MOTION ON ""MAINTAINING AND ENHANCING HONG KONG'S POSITION AS AN INTERNATIONAL FINANCIAL CENTRE"" AS AMENDED BY HON CHRISTOPHER CHEUNG"	17:04:35	19/06/2013	James TO	Member	涂謹申議員對吳亮星議員就「維護和提高香港的國際金融中心地位」所提，經張華峰議員修正的議案，作出的修正案	[u'2']
Yes	張超雄	"AMENDMENT BY DR HON FERNANDO CHEUNG TO DR HON LEUNG KA-LAU'S MOTION ON ""DISSOLVING THE HOSPITAL AUTHORITY"""	12:52:24	18/07/2013	Dr Fernando CHEUNG	Member	張超雄議員對梁家騮議員的「解散醫院管理局」議案作出的修正案	[u'1']
Yes	張國柱	"AMENDMENT BY HON CHEUNG KWOK-CHE TO HON CHAN YUEN-HAN'S MOTION ON ""ALLEVIATING POVERTY"" AS AMENDED BY HON FREDERICK FUNG"	23:23:24	14/11/2012	CHEUNG Kwok-che	Member	張國柱議員對陳婉嫻議員就「紓解貧窮」所提，經馮檢基議員修正的議案，作出的修正案	[u'4']
Yes	葉建源	"AMENDMENT BY HON IP KIN-YUEN TO HON MARTIN LIAO'S MOTION ON ""PROMOTING HONG KONG'S ECONOMIC RESTRUCTURING"" AS AMENDED BY HON KENNETH LEUNG / HON CHRISTOPHER CHEUNG / HON TANG KA-PIU / HON SIN CHUNG-KAI"	20:09:10	20/03/2013	IP Kin-yuen	Member	葉建源議員對廖長江議員就「推動香港經濟轉型」所提，經梁繼昌議員／張華峰議員／鄧家彪議員／單仲偕議員修正的議案，作出的修正案	[u'3']
Yes	范國威	"AMENDMENT BY HON GARY FAN TO HON RONNY TONG'S MOTION ON ""IMPLEMENTING DUAL UNIVERSAL SUFFRAGE"""	20:37:45	20/02/2013	Gary FAN	Member	范國威議員對湯家驊議員的「落實雙普選」議案作出的修正案	[u'3']
Yes	陳恒鑌	"MOTION MOVED BY HON CHAN HAN-PAN ON ""DEVELOPING A NEW NORTH LANTAU"" AS AMENDED BY HON RONNY TONG / HON TONY TSE / HON ALICE MAK / HON YIU SI-WING/ DR HON KWOK KA-KI"	21:08:46	06/02/2013	CHAN Han-pan	Member	由陳恒鑌議員動議，經湯家驊議員／謝偉銓議員／麥美娟議員／姚思榮議員／郭家麒議員修正的「建設新北大嶼山」議案	[u'3']
Yes	王國興	"AMENDMENT BY HON WONG KWOK-HING TO HON STARRY LEE'S MOTION ON ""ACTIVELY PROMOTING FAMILY-FRIENDLY POLICIES"""	18:10:28	05/06/2013	WONG Kwok-hing	Member	王國興議員對李慧琼議員的「積極推動家庭友善政策」議案作出的修正案	[u'2']
Yes	馮檢基	"MOTION ON ""RAISING THE MINIMUM WAGE LEVEL TO $33 OR ABOVE PER HOUR"""	17:53:59	31/10/2012	Frederick FUNG	Member	「調升最低工資水平至時薪33元或以上」議案	[u'4']
Yes	梁國雄	"MOTION ON ""BUYING BACK THE SHARES OF THE LINK"""	18:18:12	21/11/2012	LEUNG Kwok-hung	Member	「回購領匯股份」議案	[u'4']
Yes	馮檢基	"AMENDMENT BY HON FREDERICK FUNG TO HON MICHAEL TIEN'S MOTION ON ""EXECUTIVE COUNCIL AS GATE-KEEPER FOR MTR FARES"""	10:49:03	06/12/2012	Frederick FUNG	Member	馮檢基議員對田北辰議員的「港鐵票價，行會把關」議案作出的修正案	[u'4']
Yes	謝偉銓	"AMENDMENT BY HON TONY TSE TO HON CHRISTOPHER CHUNG'S MOTION ON ""CONCERN ABOUT THE EXPENDITURE OF THE WEST KOWLOON CULTURAL DISTRICT PROJECT"""	17:28:13	27/06/2013	Tony TSE	Member	謝偉銓議員對鍾樹根議員的「關注西九文化區計劃開支」議案作出的修正案	[u'2']
Yes	馮檢基	"AMENDMENT BY HON FREDERICK FUNG TO HON CHEUNG KWOK-CHE'S MOTION ON ""LEGISLATING FOR THE REGULATION OF WORKING HOURS"""	12:40:43	18/10/2012	Frederick FUNG	Member	馮檢基議員對張國柱議員的「立法規管工時」議案作出的修正案	[u'4']
Yes	陳志全	"AMENDMENT BY HON CHAN CHI-CHUEN TO HON CYD HO'S MOTION ON ""EQUAL RIGHTS FOR PEOPLE OF DIFFERENT SEXUAL ORIENTATIONS"""	17:47:14	07/11/2012	CHAN Chi-chuen	Member	陳志全議員對何秀蘭議員的「同志平權」議案作出的修正案	[u'4']
