separate_mechanism	mover_ch	motion_en	time	date	mover_en	type	motion_ch	vote_number
Yes	梁家傑	"MOTION ON ""DEMOCRATIC PROCEDURES FOR THE ELECTION OF THE CHIEF EXECUTIVE BY UNIVERSAL SUFFRAGE IN 2017"""	21:43:11	29/05/2013	Alan LEONG	Member	「2017年行政長官普選的民主程序」議案	[u'6']
Yes	湯家驊	"AMENDMENT BY HON RONNY TONG TO HON MA FUNG-KWOK'S MOTION ON ""FOLLOWING UP THE MATTER ON MR SNOWDEN'S DISCLOSURE OF THE UNITED STATES GOVERNMENT'S HACKING INTO THE COMPUTER SYSTEMS IN HONG KONG"""	16:12:18	18/07/2013	Ronny TONG	Member	湯家驊議員對馬逢國議員的「跟進斯諾登先生披露美國政府入侵本港電腦系統一事」議案作出的修正案	[u'5']
Yes	劉慧卿	"AMENDMENT BY HON EMILY LAU TO HON CLAUDIA MO'S MOTION ON ""DOMESTIC FREE TELEVISION PROGRAMME SERVICE LICENCE APPLICATIONS"" AS AMENDED BY IR DR HON LO WAI-KWOK"	11:26:40	29/11/2012	Emily LAU	Member	劉慧卿議員對毛孟靜議員就「本地免費電視節目服務牌照申請」所提，經盧偉國議員修正的議案，作出的修正案	[u'8']
Yes	張超雄	"AMENDMENT BY DR HON FERNANDO CHEUNG TO HON JAMES TIEN'S MOTION ON ""OPTIMIZING THE COMPREHENSIVE SOCIAL SECURITY ASSISTANCE FOR THE UNEMPLOYED"""	16:38:12	24/01/2013	Dr Fernando CHEUNG	Member	張超雄議員對田北俊議員的「優化失業綜援」議案作出的修正案	[u'7']
Yes	陳恒鑌	"AMENDMENT BY HON CHAN HAN-PAN TO DR HON HELENA WONG'S MOTION ON ""REGULATING BEAUTY INDUSTRY"""	21:33:45	31/10/2012	CHAN Han-pan	Member	陳恒鑌議員對黃碧雲議員的「監管美容業」議案作出的修正案	[u'8']
Yes	陳偉業	"AMENDMENT BY HON ALBERT CHAN TO HON CHAN YUEN-HAN'S MOTION ON ""ALLEVIATING POVERTY"" AS AMENDED BY HON FREDERICK FUNG / HON TAM YIU-CHUNG / HON  ALBERT HO"	23:34:29	14/11/2012	Albert CHAN	Member	陳偉業議員對陳婉嫻議員就「紓解貧窮」所提，經馮檢基議員／譚耀宗議員／何俊仁議員修正的議案，作出的修正案	[u'8']
Yes	葉建源	"AMENDMENT BY HON IP KIN-YUEN TO HON MRS REGINA IP'S MOTION ON ""REVIVING THE QUALITY OF LOCAL EDUCATION AND STOPPING THE BLIND INDUSTRIALIZATION OF EDUCATION"" AS AMENDED BY HON CLAUDIA MO / DR HON HELENA WONG"	14:09:23	20/12/2012	IP Kin-yuen	Member	葉建源議員對葉劉淑儀議員就「重振本地教育質素，停止教育盲目產業化」所提，經毛孟靜議員／黃碧雲議員修正的議案，作出的修正案	[u'7']
Yes	湯家驊	"MOTION ON ""IMPLEMENTING DUAL UNIVERSAL SUFFRAGE"""	20:45:53	20/02/2013	Ronny TONG	Member	「落實雙普選」議案	[u'7']
Yes	李慧琼	"MOTION MOVED BY HON STARRY LEE ON ""ACTIVELY PROMOTING FAMILY-FRIENDLY POLICIES"" AS AMENDED BY HON WONG KWOK-HING / HON CHEUNG KWOK-CHE / HON CLAUDIA MO"	18:19:49	05/06/2013	Starry LEE	Member	李慧琼議員動議，經王國興議員／張國柱議員／毛孟靜議員修正的「積極推動家庭友善政策」議案	[u'6']
Yes	陳鑑林	"AMENDMENT BY HON CHAN KAM-LAM TO HON MICHAEL TIEN'S MOTION ON ""EXECUTIVE COUNCIL AS GATE-KEEPER FOR MTR FARES"""	10:57:43	06/12/2012	CHAN Kam-lam	Member	陳鑑林議員對田北辰議員的「港鐵票價，行會把關」議案作出的修正案	[u'8']
Yes	范國威	"AMENDMENT BY HON GARY FAN TO HON WONG KWOK-HING'S MOTION ON ""PERFECTING HOUSING POLICY AND RESOLVING PUBLIC HOUSING NEED"""	23:52:26	07/11/2012	Gary FAN	Member	范國威議員對王國興議員的「完善房屋政策，解決市民住屋需要」議案作出的修正案	[u'8']
Yes	譚耀宗	"AMENDMENT BY HON TAM YIU-CHUNG TO DR HON FERNANDO CHEUNG'S MOTION ON ""UNIVERSAL RETIREMENT PROTECTION SYSTEM"""	11:51:58	25/10/2012	TAM Yiu-chung	Member	譚耀宗議員對張超雄議員的「全民退休保障制度」議案作出的修正案	[u'8']
Yes	毛孟靜	"AMENDMENT BY HON CLAUDIA MO TO HON IP KWOK-HIM'S MOTION ON ""FORMULATING A POPULATION POLICY"" AS AMENDED BY DR HON KENNETH CHAN"	23:46:48	03/07/2013	Claudia MO	Member	毛孟靜議員對葉國謙議員就「制訂人口政策」所提，經陳家洛議員修正的議案，作出的修正案	[u'6']
Yes	梁君彥	MOTION TO SHORTEN THE DIVISION BELL	14:45:27	14/05/2013	Andrew LEUNG	Member	動議縮短表決鐘聲	[u'2']
Yes	田北辰	"AMENDMENT BY HON MICHAEL TIEN TO HON CHEUNG KWOK-CHE'S MOTION ON ""LEGISLATING FOR THE REGULATION OF WORKING HOURS"""	12:51:35	18/10/2012	Michael TIEN	Member	田北辰議員對張國柱議員的「立法規管工時」議案作出的修正案	[u'8']
Yes	田北辰	"AMENDMENT BY HON MICHAEL TIEN TO HON JEFFREY LAM'S MOTION ON ""MAINTAINING A BUSINESS-FRIENDLY ENVIRONMENT IN HONG KONG"""	16:55:49	23/05/2013	Michael TIEN	Member	田北辰議員對林健鋒議員的「維持本港有利營商環境」議案作出的修正案	[u'7']
Yes	陳家洛	"AMENDMENT BY DR HON KENNETH CHAN TO DR HON LAM TAI-FAI'S MOTION ON ""ENHANCING THE OVERALL SUSTAINABLE COMPETITIVENESS OF HONG KONG"" AS AMENDED BY HON TANG KA-PIU / HON CHRISTOPHER CHEUNG / IR DR HON LO WAI-KWOK"	18:31:01	30/05/2013	Dr Kenneth CHAN	Member	陳家洛議員對林大輝議員就「提升香港整體持續競爭力」所提，經鄧家彪議員／張華峰議員／盧偉國議員修正的議案，作出的修正案	[u'7']
Yes	梁家傑	"AMENDMENT BY HON ALAN LEONG TO HON CHRISTOPHER CHUNG'S MOTION ON ""CONCERN ABOUT THE EXPENDITURE OF THE WEST KOWLOON CULTURAL DISTRICT PROJECT"" AS AMENDED BY HON TONY TSE / DR HON PRISCILLA LEUNG / HON CYD HO / HON CHARLES PETER MOK / HON MA FUNG-KWOK"	17:42:01	27/06/2013	Alan LEONG	Member	梁家傑議員對鍾樹根議員就「關注西九文化區計劃開支」所提，經謝偉銓議員／梁美芬議員／何秀蘭議員／莫乃光議員／馬逢國議員修正的議案，作出的修正案	[u'6']
Yes	李卓人	"HON LEE CHEUK-YAN'S AMENDMENT TO HON CYD HO'S AMENDMENT TO HON KWOK WAI-KEUNG'S MOTION ON ""PROMOTING THE WASTE RECYCLING INDUSTRY TO CREATE EMPLOYMENT OPPORTUNITIES"" AS AMENDED BY IR DR HON LO WAI-KWOK / DR HON KENNETH CHAN / HON GARY FAN"	16:01:18	11/07/2013	LEE Cheuk-yan	Member	李卓人議員就何秀蘭議員對郭偉強議員經盧偉國議員／陳家洛議員／范國威議員修正的「推動廢物循環再造業，創造就業機會」議案所提修正案，作出的修正案	[u'6']
Yes	盧偉國	"AMENDMENT BY IR DR HON LO WAI-KWOK TO HON DENNIS KWOK'S MOTION ON ""SAFEGUARDING THE RULE OF LAW AND JUDICIAL INDEPENDENCE"""	18:24:33	10/01/2013	Ir Dr LO Wai-kwok	Member	盧偉國議員對郭榮鏗議員的「捍衞法治和司法獨立」議案作出的修正案	[u'8']
Yes	單仲偕	"AMENDMENT BY HON SIN CHUNG-KAI TO HON MA FUNG-KWOK'S MOTION ON ""FOLLOWING UP THE MATTER ON MR SNOWDEN'S DISCLOSURE OF THE UNITED STATES GOVERNMENT'S HACKING INTO THE COMPUTER SYSTEMS IN HONG KONG"""	16:14:23	18/07/2013	SIN Chung-kai	Member	單仲偕議員對馬逢國議員的「跟進斯諾登先生披露美國政府入侵本港電腦系統一事」議案作出的修正案	[u'6']
Yes	梁君彥	MOTION OF THANKS	21:41:47	01/02/2013	Andrew LEUNG	Member	致謝議案	[u'8']
Yes	鄧家彪	"AMENDMENT BY HON TANG KA-PIU TO HON JAMES TIEN'S MOTION ON ""OPTIMIZING THE COMPREHENSIVE SOCIAL SECURITY ASSISTANCE FOR THE UNEMPLOYED"" AS AMENDED BY DR HON FERNANDO CHEUNG"	16:41:03	24/01/2013	TANG Ka-piu	Member	鄧家彪議員對田北俊議員就「優化失業綜援」所提，經張超雄議員修正的議案，作出的修正案	[u'8']
Yes	方剛	"AMENDMENT BY HON VINCENT FANG TO DR HON HELENA WONG'S MOTION ON ""REGULATING BEAUTY INDUSTRY"""	21:35:52	31/10/2012	Vincent FANG	Member	方剛議員對黃碧雲議員的「監管美容業」議案作出的修正案	[u'9']
Yes	陳婉嫻	"MOTION MOVED BY HON CHAN YUEN-HAN ON ""ALLEVIATING POVERTY"" AS AMENDED BY HON FREDERICK FUNG / HON TAM YIU-CHUNG / HON ALBERT HO"	23:36:59	14/11/2012	CHAN Yuen-han	Member	由陳婉嫻議員動議，經馮檢基議員／譚耀宗議員／何俊仁議員修正的「紓解貧窮」議案	[u'9']
Yes	莫乃光	"AMENDMENT BY HON CHARLES PETER MOK TO HON MRS REGINA IP'S MOTION ON ""REVIVING THE QUALITY OF LOCAL EDUCATION AND STOPPING THE BLIND INDUSTRIALIZATION OF EDUCATION"" AS AMENDED BY HON CLAUDIA MO / DR HON HELENA WONG / HON IP KIN-YUEN / HON MA FUNG-KWOK"	14:12:47	20/12/2012	Charles Peter MOK	Member	莫乃光議員對葉劉淑儀議員就「重振本地教育質素，停止教育盲目產業化」所提，經毛孟靜議員／黃碧雲議員／葉建源議員／馬逢國議員修正的議案，作出的修正案	[u'8']
Yes	李卓人	"AMENDMENT BY HON LEE CHEUK-YAN TO HON POON SIU-PING'S MOTION ON ""ENSURING OCCUPATIONAL SAFETY"""	15:40:44	21/02/2013	LEE Cheuk-yan	Member	李卓人議員對潘兆平議員的「保障職業安全」議案作出的修正案	[u'8']
Yes	鄧家彪	"AMENDMENT BY HON TANG KA-PIU TO HON LEE CHEUK-YAN'S MOTION ON ""ENACTING LEGISLATION ON THE RIGHT TO COLLECTIVE BARGAINING"""	22:12:29	05/06/2013	TANG Ka-piu	Member	鄧家彪議員對李卓人議員的「立法確立集體談判權」議案作出的修正案	[u'7']
Yes	田北辰	"MOTION MOVED BY HON MICHAEL TIEN ON ""EXECUTIVE COUNCIL AS GATE-KEEPER FOR MTR FARES"" AS AMENDED BY HON CHAN KAM-LAM"	11:01:24	06/12/2012	Michael TIEN	Member	由田北辰議員動議，經陳鑑林議員修正的「港鐵票價，行會把關」議案	[u'9']
Yes	田北辰	"AMENDMENT BY HON MICHAEL TIEN TO HON WONG KWOK-HING'S MOTION ON ""PERFECTING HOUSING POLICY AND RESOLVING PUBLIC HOUSING NEED"""	23:54:29	07/11/2012	Michael TIEN	Member	田北辰議員對王國興議員的「完善房屋政策，解決市民住屋需要」議案作出的修正案	[u'9']
Yes	王國興	"AMENDMENT BY HON WONG KWOK-HING TO DR HON FERNANDO CHEUNG'S MOTION ON ""UNIVERSAL RETIREMENT PROTECTION SYSTEM"""	11:54:51	25/10/2012	WONG Kwok-hing	Member	王國興議員對張超雄議員的「全民退休保障制度」議案作出的修正案	[u'9']
Yes	葉建源	"AMENDMENT BY HON IP KIN-YUEN TO HON IP KWOK-HIM'S MOTION ON ""FORMULATING A POPULATION POLICY"" AS AMENDED BY DR HON KENNETH CHAN"	23:49:04	03/07/2013	IP Kin-yuen	Member	葉建源議員對葉國謙議員就「制訂人口政策」所提，經陳家洛議員修正的議案，作出的修正案	[u'7']
Yes	陳志全	APPROPRIATION BILL 2013 - COMMITTEE STAGE - AMENDMENT TO HEAD 21 (VOTE NO. 2)	14:51:19	14/05/2013	CHAN Chi-chuen	Member	《2013年撥款條例草案》－ 全體委員會審議階段 － 總目21的修正案 （表決編號2）	[u'3']
Yes	梁繼昌	"AMENDMENT BY HON KENNETH LEUNG TO HON CHEUNG KWOK-CHE'S MOTION ON ""LEGISLATING FOR THE REGULATION OF WORKING HOURS"""	12:53:43	18/10/2012	Kenneth LEUNG	Member	梁繼昌議員對張國柱議員的「立法規管工時」議案作出的修正案	[u'9']
Yes	胡志偉	"AMENDMENT BY HON WU CHI-WAI TO HON JEFFREY LAM'S MOTION ON ""MAINTAINING A BUSINESS-FRIENDLY ENVIRONMENT IN HONG KONG"" AS AMENDED BY HON MICHAEL TIEN / HON IP KIN-YUEN"	16:59:08	23/05/2013	WU Chi-wai	Member	胡志偉議員對林健鋒議員就「維持本港有利營商環境」所提，經田北辰議員／葉建源議員修正的議案，作出的修正案	[u'8']
Yes	鍾樹根	"MOTION MOVED BY HON CHRISTOPHER CHUNG ON ""CONCERN ABOUT THE EXPENDITURE OF THE WEST KOWLOON CULTURAL DISTRICT PROJECT"" AS AMENDED BY HON TONY TSE/DR HON PRISCILLA LEUNG/HON CYD HO/HON CHARLES PETER MOK/HON MA FUNG-KWOK/HON ALAN LEONG/HON CLAUDIA MO/HON EMILY LAU"	17:47:24	27/06/2013	Christopher CHUNG	Member	鍾樹根議員動議，經謝偉銓議員／梁美芬議員／何秀蘭議員／莫乃光議員／馬逢國議員／梁家傑議員／毛孟靜議員／劉慧卿議員修正的「關注西九文化區計劃開支」議案	[u'7']
Yes	葉國謙	"AMENDMENT BY HON IP KWOK-HIM TO HON DENNIS KWOK'S MOTION ON ""SAFEGUARDING THE RULE OF LAW AND JUDICIAL INDEPENDENCE"""	18:26:38	10/01/2013	IP Kwok-him	Member	葉國謙議員對郭榮鏗議員的「捍衞法治和司法獨立」議案作出的修正案	[u'9']
Yes	胡志偉	"AMENDMENT BY HON WU CHI-WAI TO DR HON LAM TAI-FAI'S MOTION ON ""ENHANCING THE OVERALL SUSTAINABLE COMPETITIVENESS OF HONG KONG"" AS AMENDED BY HON TANG KA-PIU / HON CHRISTOPHER CHEUNG / IR DR HON LO WAI-KWOK"	18:34:52	30/05/2013	WU Chi-wai	Member	胡志偉議員對林大輝議員就「提升香港整體持續競爭力」所提，經鄧家彪議員／張華峰議員／盧偉國議員修正的議案，作出的修正案	[u'8']
Yes	何秀蘭	"AMENDMENT BY HON CYD HO TO HON KWOK WAI-KEUNG'S MOTION ON ""PROMOTING THE WASTE RECYCLING INDUSTRY TO CREATE EMPLOYMENT OPPORTUNITIES"" AS AMENDED BY IR DR HON LO WAI-KWOK / DR HON KENNETH CHAN / HON GARY FAN"	16:03:20	11/07/2013	Cyd HO	Member	何秀蘭議員對郭偉強議員就「推動廢物循環再造業，創造就業機會」所提，經盧偉國議員／陳家洛議員／范國威議員修正的議案，作出的修正案	[u'7']
Yes	馬逢國	"MOTION MOVED BY HON MA FUNG-KWOK ON ""FOLLOWING UP THE MATTER ON MR SNOWDEN'S DISCLOSURE OF THE UNITED STATES GOVERNMENT'S HACKING INTO THE COMPUTER SYSTEMS IN HONG KONG"" AS AMENDED BY HON SIN CHUNG-KAI"	16:17:54	18/07/2013	MA Fung-kwok	Member	馬逢國議員動議，經單仲偕議員修正的「跟進斯諾登先生披露美國政府入侵本港電腦系統一事」議案	[u'7']
Yes	陳志全	"AMENDMENT BY HON CHAN CHI-CHUEN TO DR HON HELENA WONG'S MOTION ON ""REGULATING BEAUTY INDUSTRY"""	21:37:55	31/10/2012	CHAN Chi-chuen	Member	陳志全議員對黃碧雲議員的「監管美容業」議案作出的修正案	[u'10']
Yes	梁君彥	MOTION TO SHORTEN DURATION OF DIVISION BELL	15:47:15	21/02/2013	Andrew LEUNG	Member	縮短點名表決響鐘時間的議案	[u'9']
Yes	鍾樹根	"AMENDMENT BY HON CHRISTOPHER CHUNG TO HON LEE CHEUK-YAN'S MOTION ON ""ENACTING LEGISLATION ON THE RIGHT TO COLLECTIVE BARGAINING"""	22:15:21	05/06/2013	Christopher CHUNG	Member	鍾樹根議員對李卓人議員的「立法確立集體談判權」議案作出的修正案	[u'8']
Yes	單仲偕	"AMENDMENT BY HON SIN CHUNG-KAI TO HON CHRISTOPHER CHEUNG'S MOTION ON ""SUPPORTING THE DEVELOPMENT OF THE SECURITIES INDUSTRY"" AS AMENDED BY HON WONG KWOK-HING / HON RONNY TONG"	13:48:36	06/12/2012	SIN Chung-kai	Member	單仲偕議員對張華峰議員就「支持證券業發展」所提，經王國興議員／湯家驊議員修正的議案，作出的修正案	[u'10']
Yes	謝偉俊	"AMENDMENT BY HON PAUL TSE TO HON MRS REGINA IP'S MOTION ON ""REVIVING THE QUALITY OF LOCAL EDUCATION AND STOPPING THE BLIND INDUSTRIALIZATION OF EDUCATION"" AS AMENDED BY HON CLAUDIA MO / DR HON HELENA WONG / HON IP KIN-YUEN / HON MA FUNG-KWOK"	14:15:11	20/12/2012	Paul TSE	Member	謝偉俊議員對葉劉淑儀議員就「重振本地教育質素，停止教育盲目產業化」所提，經毛孟靜議員／黃碧雲議員／葉建源議員／馬逢國議員修正的議案，作出的修正案	[u'9']
Yes	范國威	"AMENDMENT BY HON GARY FAN TO HON IP KWOK-HIM'S MOTION ON ""FORMULATING A POPULATION POLICY"" AS AMENDED BY DR HON KENNETH CHAN / HON IP KIN-YUEN"	23:51:31	03/07/2013	Gary FAN	Member	范國威議員對葉國謙議員就「制訂人口政策」所提，經陳家洛議員／葉建源議員修正的議案，作出的修正案	[u'8']
Yes	陳志全	APPROPRIATION BILL 2013 - COMMITTEE STAGE - AMENDMENT TO HEAD 21 (VOTE NO. 3)	14:53:17	14/05/2013	CHAN Chi-chuen	Member	《2013年撥款條例草案》－ 全體委員會審議階段 － 總目21的修正案 （表決編號3）	[u'4']
Yes	盧偉國	"AMENDMENT BY IR DR HON LO WAI-KWOK TO HON WONG KWOK-HING'S MOTION ON ""PERFECTING HOUSING POLICY AND RESOLVING PUBLIC HOUSING NEED"""	23:56:39	07/11/2012	Ir Dr LO Wai-kwok	Member	盧偉國議員對王國興議員的「完善房屋政策，解決市民住屋需要」議案作出的修正案	[u'10']
Yes	陳健波	"AMENDMENT BY HON CHAN KIN-POR TO DR HON FERNANDO CHEUNG'S MOTION ON ""UNIVERSAL RETIREMENT PROTECTION SYSTEM"""	11:57:03	25/10/2012	CHAN Kin-por	Member	陳健波議員對張超雄議員的「全民退休保障制度」議案作出的修正案	[u'10']
Yes	范國威	"AMENDMENT BY HON GARY FAN TO DR HON KENNETH CHAN'S MOTION ON ""ENHANCING THE QUALITY AND QUANTITY OF LOCAL TERTIARY EDUCATION"""	21:53:47	27/06/2013	Gary FAN	Member	范國威議員對陳家洛議員的「提升本港專上教育質量」議案作出的修正案	[u'8']
Yes	張國柱	"MOTION ON ""LEGISLATING FOR THE REGULATION OF WORKING HOURS"""	12:57:48	18/10/2012	CHEUNG Kwok-che	Member	「立法規管工時」議案	[u'10']
Yes	胡志偉	"AMENDMENT BY HON WU CHI-WAI TO HON KWOK WAI-KEUNG'S MOTION ON ""PROMOTING THE WASTE RECYCLING INDUSTRY TO CREATE EMPLOYMENT OPPORTUNITIES"" AS AMENDED BY IR DR HON LO WAI-KWOK / DR HON KENNETH CHAN / HON GARY FAN"	16:05:53	11/07/2013	WU Chi-wai	Member	胡志偉議員對郭偉強議員就「推動廢物循環再造業，創造就業機會」所提，經盧偉國議員／陳家洛議員／范國威議員修正的議案，作出的修正案	[u'8']
Yes	范國威	"AMENDMENT BY HON GARY FAN TO HON DENNIS KWOK'S MOTION ON ""SAFEGUARDING THE RULE OF LAW AND JUDICIAL INDEPENDENCE"""	18:28:40	10/01/2013	Gary FAN	Member	范國威議員對郭榮鏗議員的「捍衞法治和司法獨立」議案作出的修正案	[u'10']
Yes	湯家驊	"AMENDMENT BY HON RONNY TONG TO DR HON HELENA WONG'S MOTION ON ""REGULATING BEAUTY INDUSTRY"""	21:39:52	31/10/2012	Ronny TONG	Member	湯家驊議員對黃碧雲議員的「監管美容業」議案作出的修正案	[u'11']
Yes	廖長江	"AMENDMENT BY HON MARTIN LIAO TO HON CHRISTOPHER CHEUNG'S MOTION ON ""SUPPORTING THE DEVELOPMENT OF THE SECURITIES INDUSTRY"" AS AMENDED BY HON WONG KWOK-HING / HON RONNY TONG / HON SIN CHUNG-KAI / HON NG LEUNG-SING"	13:54:14	06/12/2012	Martin LIAO	Member	廖長江議員對張華峰議員就「支持證券業發展」所提，經王國興議員／湯家驊議員／單仲偕議員／吳亮星議員修正的議案，作出的修正案	[u'11']
Yes	鄧家彪	"AMENDMENT BY HON TANG KA-PIU TO HON POON SIU-PING'S MOTION ON ""ENSURING OCCUPATIONAL SAFETY"""	15:49:36	21/02/2013	TANG Ka-piu	Member	鄧家彪議員對潘兆平議員的「保障職業安全」議案作出的修正案	[u'10']
Yes	李卓人	"MOTION ON ""ENACTING LEGISLATION ON THE RIGHT TO COLLECTIVE BARGAINING"""	22:18:18	05/06/2013	LEE Cheuk-yan	Member	「立法確立集體談判權」議案	[u'9']
Yes	田北辰	"AMENDMENT BY HON MICHAEL TIEN TO DR HON FERNANDO CHEUNG'S MOTION ON ""UNIVERSAL RETIREMENT PROTECTION SYSTEM"""	11:59:33	25/10/2012	Michael TIEN	Member	田北辰議員對張超雄議員的「全民退休保障制度」議案作出的修正案	[u'11']
Yes	李慧琼	"AMENDMENT BY HON STARRY LEE TO DR HON KENNETH CHAN'S MOTION ON ""ENHANCING THE QUALITY AND QUANTITY OF LOCAL TERTIARY EDUCATION"""	21:56:38	27/06/2013	Starry LEE	Member	李慧琼議員對陳家洛議員的「提升本港專上教育質量」議案作出的修正案	[u'9']
Yes	黃毓民	APPROPRIATION BILL 2013 - COMMITTEE STAGE - AMENDMENT TO HEAD 21 (VOTE NO. 4)	14:55:52	14/05/2013	WONG Yuk-man	Member	《2013年撥款條例草案》－ 全體委員會審議階段 － 總目21的修正案 （表決編號4）	[u'5']
Yes	田北俊	"AMENDMENT BY HON JAMES TIEN TO HON WONG KWOK-HING'S MOTION ON ""PERFECTING HOUSING POLICY AND RESOLVING PUBLIC HOUSING NEED"""	23:58:46	07/11/2012	James TIEN	Member	田北俊議員對王國興議員的「完善房屋政策，解決市民住屋需要」議案作出的修正案	[u'11']
Yes	何秀蘭	"AMENDMENT BY HON CYD HO TO HON IP KWOK-HIM'S MOTION ON ""FORMULATING A POPULATION POLICY"" AS AMENDED BY DR HON KENNETH CHAN / HON IP KIN-YUEN"	23:53:56	03/07/2013	Cyd HO	Member	何秀蘭議員對葉國謙議員就「制訂人口政策」所提，經陳家洛議員／葉建源議員修正的議案，作出的修正案	[u'9']
Yes	張華峰	"AMENDMENT BY HON CHRISTOPHER CHEUNG TO HON ANDREW LEUNG'S MOTION ON ""IMPACT OF THE UNITED STATES' ENDING THE QUANTITATIVE EASING MEASURES"""	19:22:09	11/07/2013	Christopher CHEUNG	Member	張華峰議員對梁君彥議員的「美國結束量化寬鬆措施的影響」議案作出的修正案	[u'9']
Yes	郭榮鏗	"MOTION ON ""SAFEGUARDING THE RULE OF LAW AND JUDICIAL INDEPENDENCE"""	18:34:02	10/01/2013	Dennis KWOK	Member	「捍衞法治和司法獨立」議案	[u'11']
Yes	梁家騮	"AMENDMENT BY DR HON LEUNG KA-LAU TO DR HON HELENA WONG'S MOTION ON ""REGULATING BEAUTY INDUSTRY"""	21:42:01	31/10/2012	Dr LEUNG Ka-lau	Member	梁家騮議員對黃碧雲議員的「監管美容業」議案作出的修正案	[u'12']
Yes	單仲偕	"AMENDMENT BY HON SIN CHUNG-KAI TO HON POON SIU-PING'S MOTION ON ""ENSURING OCCUPATIONAL SAFETY"""	15:52:02	21/02/2013	SIN Chung-kai	Member	單仲偕議員對潘兆平議員的「保障職業安全」議案作出的修正案	[u'11']
Yes	毛孟靜	"AMENDMENT BY HON CLAUDIA MO TO HON CHARLES PETER MOK'S MOTION ON ""SAFEGUARDING FREEDOM OF INFORMATION, OF THE PRESS AND OF THE INTERNET"""	17:32:53	06/06/2013	Claudia MO	Member	毛孟靜議員對莫乃光議員的「捍衞資訊、新聞及網絡自由」議案作出的修正案	[u'10']
Yes	何俊仁	"AMENDMENT BY HON ALBERT HO TO DR HON FERNANDO CHEUNG'S MOTION ON ""UNIVERSAL RETIREMENT PROTECTION SYSTEM"""	12:01:36	25/10/2012	Albert HO	Member	何俊仁議員對張超雄議員的「全民退休保障制度」議案作出的修正案	[u'12']
Yes	梁繼昌	"AMENDMENT BY HON KENNETH LEUNG TO HON IP KWOK-HIM'S MOTION ON ""FORMULATING A POPULATION POLICY"" AS AMENDED BY DR HON KENNETH CHAN / HON IP KIN-YUEN"	23:56:15	03/07/2013	Kenneth LEUNG	Member	梁繼昌議員對葉國謙議員就「制訂人口政策」所提，經陳家洛議員／葉建源議員修正的議案，作出的修正案	[u'10']
Yes	郭偉強	"AMENDMENT BY HON KWOK WAI-KEUNG TO DR HON KENNETH CHAN'S MOTION ON ""ENHANCING THE QUALITY AND QUANTITY OF LOCAL TERTIARY EDUCATION"""	21:58:33	27/06/2013	KWOK Wai-keung	Member	郭偉強議員對陳家洛議員的「提升本港專上教育質量」議案作出的修正案	[u'10']
